,precision,recall,f1-score,support
"
",0.0,0.0,0.0,0.0
"

",0.0,0.0,0.0,0.0
"""",0.0,0.0,0.0,0.0
',0.0,0.0,0.0,0.0
'S,0.0,0.0,0.0,0.0
'll,0.0,0.0,0.0,0.0
're,0.0,0.0,0.0,0.0
's,0.0,0.0,0.0,0.0
(,0.0,0.0,0.0,0.0
),0.0,0.0,0.0,0.0
+1,0.0,0.0,0.0,0.0
",",0.0,0.0,0.0,0.0
-,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0
/,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
000,0.0,0.0,0.0,0.0
0000,0.0,0.0,0.0,0.0
0005x124,0.0,0.0,0.0,0.0
0009,0.0,0.0,0.0,0.0
00091,0.0,0.0,0.0,0.0
001,0.0,0.0,0.0,0.0
0010x009,0.0,0.0,0.0,0.0
0012U,0.0,0.0,0.0,0.0
001396260,0.0,0.0,0.0,0.0
0013x5810,0.0,0.0,0.0,0.0
0014,0.0,0.0,0.0,0.0
002,0.0,0.0,0.0,0.0
0023,0.0,0.0,0.0,0.0
00264,0.0,0.0,0.0,0.0
002808998,0.0,0.0,0.0,0.0
0029,0.0,0.0,0.0,0.0
003,0.0,0.0,0.0,0.0
0030x0351,0.0,0.0,0.0,0.0
0032x51385,0.0,0.0,0.0,0.0
0035,0.0,0.0,0.0,0.0
0036x10679,0.0,0.0,0.0,0.0
0037,0.0,0.0,0.0,0.0
0038x98257,0.0,0.0,0.0,0.0
0039x866,0.0,0.0,0.0,0.0
0040,0.0,0.0,0.0,0.0
00402,0.0,0.0,0.0,0.0
0042,0.0,0.0,0.0,0.0
0043,0.0,0.0,0.0,0.0
0049,0.0,0.0,0.0,0.0
005,0.0,0.0,0.0,0.0
00521,0.0,0.0,0.0,0.0
00545,0.0,0.0,0.0,0.0
00547,0.0,0.0,0.0,0.0
0057,0.0,0.0,0.0,0.0
006,0.0,0.0,0.0,0.0
0060,0.0,0.0,0.0,0.0
00609,0.0,0.0,0.0,0.0
00645,0.0,0.0,0.0,0.0
0066,0.0,0.0,0.0,0.0
0067x726,0.0,0.0,0.0,0.0
00682,0.0,0.0,0.0,0.0
00692,0.0,0.0,0.0,0.0
007,0.0,0.0,0.0,0.0
0070,0.0,0.0,0.0,0.0
00704,0.0,0.0,0.0,0.0
0070x658,0.0,0.0,0.0,0.0
0071,0.0,0.0,0.0,0.0
00724,0.0,0.0,0.0,0.0
007267646,0.0,0.0,0.0,0.0
0075x5289,0.0,0.0,0.0,0.0
0075x8021,0.0,0.0,0.0,0.0
0077,0.0,0.0,0.0,0.0
00783,0.0,0.0,0.0,0.0
008,0.0,0.0,0.0,0.0
0080x34759,0.0,0.0,0.0,0.0
0081x8811,0.0,0.0,0.0,0.0
0086,0.0,0.0,0.0,0.0
00875,0.0,0.0,0.0,0.0
009,0.0,0.0,0.0,0.0
0090x6372,0.0,0.0,0.0,0.0
00928,0.0,0.0,0.0,0.0
0093,0.0,0.0,0.0,0.0
00939,0.0,0.0,0.0,0.0
0094,0.0,0.0,0.0,0.0
00946,0.0,0.0,0.0,0.0
00967,0.0,0.0,0.0,0.0
0097,0.0,0.0,0.0,0.0
00980,0.0,0.0,0.0,0.0
0099x5257,0.0,0.0,0.0,0.0
01,0.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0
0100x143,0.0,0.0,0.0,0.0
0103,0.0,0.0,0.0,0.0
01035,0.0,0.0,0.0,0.0
0104,0.0,0.0,0.0,0.0
0104x272,0.0,0.0,0.0,0.0
01098,0.0,0.0,0.0,0.0
0109x503,0.0,0.0,0.0,0.0
0109x70971,0.0,0.0,0.0,0.0
010VW,0.0,0.0,0.0,0.0
011,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0
01112,0.0,0.0,0.0,0.0
01113,0.0,0.0,0.0,0.0
0112,0.0,0.0,0.0,0.0
01134,0.0,0.0,0.0,0.0
0114x50580,0.0,0.0,0.0,0.0
0115,0.0,0.0,0.0,0.0
0116,0.0,0.0,0.0,0.0
0117,0.0,0.0,0.0,0.0
01179,0.0,0.0,0.0,0.0
01187,0.0,0.0,0.0,0.0
012,0.0,0.0,0.0,0.0
0120x587,0.0,0.0,0.0,0.0
01219,0.0,0.0,0.0,0.0
01249,0.0,0.0,0.0,0.0
0127x1474,0.0,0.0,0.0,0.0
0128,0.0,0.0,0.0,0.0
01290,0.0,0.0,0.0,0.0
013,0.0,0.0,0.0,0.0
0131,0.0,0.0,0.0,0.0
0132,0.0,0.0,0.0,0.0
01339,0.0,0.0,0.0,0.0
0134,0.0,0.0,0.0,0.0
0136x236,0.0,0.0,0.0,0.0
01378,0.0,0.0,0.0,0.0
01388,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0
0141,0.0,0.0,0.0,0.0
01410,0.0,0.0,0.0,0.0
01429,0.0,0.0,0.0,0.0
01434,0.0,0.0,0.0,0.0
0147x17830,0.0,0.0,0.0,0.0
0149,0.0,0.0,0.0,0.0
01495,0.0,0.0,0.0,0.0
015,0.0,0.0,0.0,0.0
0151x85583,0.0,0.0,0.0,0.0
0154,0.0,0.0,0.0,0.0
01555,0.0,0.0,0.0,0.0
01558,0.0,0.0,0.0,0.0
0156,0.0,0.0,0.0,0.0
0157x1490,0.0,0.0,0.0,0.0
016,0.0,0.0,0.0,0.0
01603,0.0,0.0,0.0,0.0
01608,0.0,0.0,0.0,0.0
01630,0.0,0.0,0.0,0.0
01675,0.0,0.0,0.0,0.0
017,0.0,0.0,0.0,0.0
01703,0.0,0.0,0.0,0.0
01704,0.0,0.0,0.0,0.0
0171x61345,0.0,0.0,0.0,0.0
0171x81056,0.0,0.0,0.0,0.0
01727,0.0,0.0,0.0,0.0
0174x63270,0.0,0.0,0.0,0.0
01761,0.0,0.0,0.0,0.0
01772,0.0,0.0,0.0,0.0
018,0.0,0.0,0.0,0.0
0181x5039,0.0,0.0,0.0,0.0
01864,0.0,0.0,0.0,0.0
01865,0.0,0.0,0.0,0.0
0186x787,0.0,0.0,0.0,0.0
01873,0.0,0.0,0.0,0.0
0188,0.0,0.0,0.0,0.0
01886,0.0,0.0,0.0,0.0
019,0.0,0.0,0.0,0.0
0190,0.0,0.0,0.0,0.0
0196x077,0.0,0.0,0.0,0.0
019H,0.0,0.0,0.0,0.0
01D,0.0,0.0,0.0,0.0
02,0.0,0.0,0.0,0.0
02028,0.0,0.0,0.0,0.0
0206,0.0,0.0,0.0,0.0
0206x19721,0.0,0.0,0.0,0.0
021,0.0,0.0,0.0,0.0
02137,0.0,0.0,0.0,0.0
0215,0.0,0.0,0.0,0.0
0218,0.0,0.0,0.0,0.0
0218x1101,0.0,0.0,0.0,0.0
0218x591,0.0,0.0,0.0,0.0
0219x0357,0.0,0.0,0.0,0.0
022,0.0,0.0,0.0,0.0
0220,0.0,0.0,0.0,0.0
02207,0.0,0.0,0.0,0.0
0226x3554,0.0,0.0,0.0,0.0
02272,0.0,0.0,0.0,0.0
0229x95781,0.0,0.0,0.0,0.0
023,0.0,0.0,0.0,0.0
02309,0.0,0.0,0.0,0.0
0231,0.0,0.0,0.0,0.0
02338,0.0,0.0,0.0,0.0
02378,0.0,0.0,0.0,0.0
02382,0.0,0.0,0.0,0.0
024,0.0,0.0,0.0,0.0
0241,0.0,0.0,0.0,0.0
02419,0.0,0.0,0.0,0.0
0241x2885,0.0,0.0,0.0,0.0
02434,0.0,0.0,0.0,0.0
02455,0.0,0.0,0.0,0.0
025,0.0,0.0,0.0,0.0
0253x35515,0.0,0.0,0.0,0.0
02557,0.0,0.0,0.0,0.0
02559,0.0,0.0,0.0,0.0
02565,0.0,0.0,0.0,0.0
0258,0.0,0.0,0.0,0.0
0258x54973,0.0,0.0,0.0,0.0
0259,0.0,0.0,0.0,0.0
026,0.0,0.0,0.0,0.0
026164398,0.0,0.0,0.0,0.0
02628,0.0,0.0,0.0,0.0
0262x651,0.0,0.0,0.0,0.0
0263,0.0,0.0,0.0,0.0
02660,0.0,0.0,0.0,0.0
02692,0.0,0.0,0.0,0.0
02694,0.0,0.0,0.0,0.0
0270,0.0,0.0,0.0,0.0
02743,0.0,0.0,0.0,0.0
0277,0.0,0.0,0.0,0.0
02784,0.0,0.0,0.0,0.0
02795,0.0,0.0,0.0,0.0
028,0.0,0.0,0.0,0.0
0280,0.0,0.0,0.0,0.0
0280x0967,0.0,0.0,0.0,0.0
02816,0.0,0.0,0.0,0.0
0283,0.0,0.0,0.0,0.0
02832,0.0,0.0,0.0,0.0
